i,j,SNR
0,1,22.792157037902992
0,2,18.70047162510167
0,3,20.436213952317217
0,4,24.222679597604373
0,5,23.102673970449903
0,6,14.568166360370768
0,7,20.35026525257677
0,8,17.045928375106907
0,9,17.190343444619327
0,10,18.731795505815118
0,11,17.932130713482636
0,12,21.862820520888924
0,13,19.78311317544098
0,14,17.865025049478486
0,15,18.83158969823628
0,16,18.5010229821228
0,17,21.982237219472818
0,18,16.8845252087026
0,19,18.439203104952703
0,20,14.937712782094826
0,21,10.0
0,22,19.460855786321083
0,23,20.093308596578517
0,24,15.273504938780674
0,25,24.309263871962823
0,26,13.136902976203706
0,27,17.637275551904338
0,28,16.9384484499225
0,29,22.09833764307537
0,30,21.908076309700853
0,31,17.96484227709075
0,32,18.63448755880652
0,33,14.836642757109662
0,34,11.557610595328219
0,35,16.456263552021543
0,36,17.96904690731194
0,37,21.190872042183162
0,38,21.107139546353235
0,39,16.338019547776142
0,40,16.59309174827399
0,41,14.354341104798722
0,42,13.239946188463074
0,43,12.381189428124962
0,44,23.352326185695368
0,45,15.97104345474504
0,46,16.18577709516644
0,47,13.741613919850222
0,48,19.83247106749573
0,49,12.658306457326145
0,50,16.861779159358093
0,51,14.813600316418974
0,52,18.660707493577785
0,53,15.96758458729338
0,54,13.958103447632764
0,55,17.415453314984035
0,56,18.784995611591253
0,57,17.699551667149503
0,58,18.407415693219345
0,59,15.597033718957109
0,60,16.411776502038585
0,61,15.482618656672146
0,62,16.421340515378375
0,63,15.060561153866638
0,64,12.32115219300497
0,65,18.03227842676126
0,66,16.294657191375215
0,67,12.609404959101866
0,68,18.88834676657732
0,69,14.778104906850274
0,70,17.655836187388417
0,71,19.68727168653261
0,72,17.88694873227223
0,73,20.9182020536299
0,74,13.795522538939043
0,75,18.707024923532646
0,76,15.44556972717906
0,77,14.887608552454354
0,78,15.763451005706754
0,79,16.565342403617883
0,80,17.668496026689237
0,81,14.00455047764993
0,82,20.202479460862563
0,83,18.89698731919138
0,84,12.89126894116833
0,85,21.9647565813868
0,86,23.18766752809175
0,87,21.03633871347895
0,88,16.960225492562948
0,89,14.287742135468372
0,90,20.66335518079341
0,91,16.290469159080462
0,92,21.167335211147282
0,93,18.12482493423058
0,94,20.42991710945114
0,95,18.569099191523208
0,96,19.619719504575844
0,97,17.53150006216246
0,98,22.857611481717505
0,99,17.88073627811086
1,2,18.705968090334103
1,3,23.14945209116876
1,4,13.456722816572661
1,5,13.6885450045428
1,6,20.408190124474032
1,7,13.98062978465752
1,8,23.33086355694788
1,9,16.259143057720756
1,10,15.257635565677727
1,11,23.268826079441155
1,12,21.941544374303273
1,13,23.10267688127971
1,14,20.218133974826156
1,15,14.916322944835892
1,16,23.2301948592971
1,17,16.69598988714586
1,18,19.907369187389186
1,19,20.341755903321243
1,20,17.034969720727496
1,21,19.34223811103824
1,22,20.26662001469958
1,23,18.629276593466887
1,24,14.201797628247416
1,25,18.394714522618166
1,26,21.47915769006109
1,27,15.416296420805903
1,28,17.051096379016986
1,29,16.19453934483509
1,30,23.047791185438026
1,31,19.516884271037306
1,32,18.72238550872333
1,33,15.19025177666405
1,34,19.11774757387545
1,35,15.477002018027871
1,36,17.595491674823055
1,37,15.592461764863357
1,38,19.5292998848395
1,39,19.229772449844823
1,40,16.875103733266016
1,41,18.688020137984935
1,42,14.220815473808482
1,43,13.026227221883182
1,44,18.81817510379361
1,45,18.000020486117588
1,46,19.40509431067632
1,47,24.649434324591827
1,48,20.33343846097124
1,49,14.761533323667525
1,50,20.85104886428756
1,51,13.552277768465437
